service_name,latitude,longitude,service_type,service_icon,last_updated_at_UTC
Eastern Creek Organic Resource Recovery Facility,-33.8063287,150.851686299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Paget Transfer Station,-21.1935109,149.164122899999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Wingfield Service Centre,-34.841899,138.556331,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Campbelltown Service Centre,-34.0584574,150.8479703,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Seven Hills Resource Recovery Centre,-33.7757289,150.952007099999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Rocklea Service Centre,-27.5589109,153.0001336,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Central Coast Resource Recovery Centre,-33.415831,151.321986,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Moruya Resource Recovery Centre,-35.8770588,150.086399799999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
Eastern Creek Service Centre,-33.80628,150.851493,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C01B0053F27AD410AFCBF8495AB87E30A4CAE490,19-Aug-2023 04:36:31
Shoalhaven Service Centre,-34.909153,150.5861942,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=C17BC2D672E53E969BF33ADC47B761EFC87BFEE4,19-Aug-2023 04:36:31
